Dataset,StratificationType,Fold_Seed,Fold,Property,EMD,KS_Stat
chameleon,LabelStratifiedKFold,0,5,Clustering Coefficient,0.0204390247175415,0.0431261384060505
chameleon,LabelStratifiedKFold,1,1,Degree,2.5639758374519404,0.025054914881933
chameleon,LabelStratifiedKFold,1,1,Neighborhood Heterogeneity,0.0065272240349307,0.014332061620278
chameleon,LabelStratifiedKFold,1,1,PageRank,4.056194964720111e-05,0.0319228879447382
chameleon,LabelStratifiedKFold,1,1,Eigenvector Centrality,0.0006428244162732,0.0378334633948958
chameleon,LabelStratifiedKFold,1,1,Clustering Coefficient,0.0264254564117541,0.0440728055724153
chameleon,LabelStratifiedKFold,1,2,Degree,1.363330587589247,0.0191190496835168
chameleon,LabelStratifiedKFold,1,2,Neighborhood Heterogeneity,0.013970081911619,0.024339576288332
chameleon,LabelStratifiedKFold,1,2,PageRank,4.456078514389976e-05,0.0349106910604352
chameleon,LabelStratifiedKFold,1,2,Eigenvector Centrality,0.0004175692023206,0.0335594959391889
chameleon,LabelStratifiedKFold,1,2,Clustering Coefficient,0.0122261103146862,0.0277681435879649
chameleon,LabelStratifiedKFold,1,3,Degree,1.6871617953945075,0.0276245159889506
chameleon,LabelStratifiedKFold,1,3,Neighborhood Heterogeneity,0.0150935591853848,0.0470127018974439
chameleon,LabelStratifiedKFold,1,3,PageRank,2.1788036082742655e-05,0.0249779857902799
chameleon,LabelStratifiedKFold,1,3,Eigenvector Centrality,0.0005362788156711,0.0409174798856467
chameleon,LabelStratifiedKFold,1,3,Clustering Coefficient,0.0122161884026942,0.0275847094727446
chameleon,LabelStratifiedKFold,1,4,Degree,2.1339260081301754,0.0347402323253036
chameleon,LabelStratifiedKFold,1,4,Neighborhood Heterogeneity,0.0181615625986513,0.0398390851738821
